ProductName,RecipeType,id,QtyProduced,ProcessingCost,ingredient1id,ingredient1Qty,ingredient2id,ingredient2Qty,ingredient3id,ingredient3Qty
Prayer potion(4),Decant 3 to 4 (Bob Barter),2434,1,0,139,1.333,,0,,0
Stamina potion(4),Decant 3 to 4 (Bob Barter),12625,1,0,12627,1.333,,0,,0
Ranging potion(4),Decant 3 to 4 (Bob Barter),2444,1,0,169,1.333,,0,,0
Energy potion(4),Decant 3 to 4 (Bob Barter),3008,1,0,3010,1.333,,0,,0
Magic potion(4),Decant 3 to 4 (Bob Barter),3040,1,0,3042,1.333,,0,,0
Antifire potion(4),Decant 3 to 4 (Bob Barter),2452,1,0,2454,1.333,,0,,0
Combat potion(4),Decant 3 to 4 (Bob Barter),9739,1,0,9741,1.333,,0,,0
Bastion potion(4),Decant 3 to 4 (Bob Barter),22461,1,0,22464,1.333,,0,,0
Saradomin brew(4),Decant 3 to 4 (Bob Barter),6685,1,0,6687,1.333,,0,,0
Super restore(4),Decant 3 to 4 (Bob Barter),3024,1,0,3026,1.333,,0,,0
Super energy(4),Decant 3 to 4 (Bob Barter),3016,1,0,3018,1.333,,0,,0
Super strength(4),Decant 3 to 4 (Bob Barter),2440,1,0,157,1.333,,0,,0
Super attack(4),Decant 3 to 4 (Bob Barter),2436,1,0,145,1.333,,0,,0
Super defence(4),Decant 3 to 4 (Bob Barter),2442,1,0,163,1.333,,0,,0
Ancient brew(4),Decant 3 to 4 (Bob Barter),26340,1,0,26342,1.333,,0,,0
Stamina potion(1),Decant 4 to 1 (Bob Barter),12631,4,24,12625,1,,0,,0
Divine super combat potion(1),Decant 4 to 1 (Bob Barter),23694,4,24,23685,1,,0,,0
Divine ranging potion(1),Decant 4 to 1 (Bob Barter),23742,4,24,23733,1,,0,,0
Super combat potion(1),Decant 4 to 1 (Bob Barter),12701,4,24,12695,1,,0,,0
Ranarr potion (unf),Create Unfinished Potions (Zahur),99,1,200,257,1,227,1,,0
Toadflax potion (unf),Create Unfinished Potions (Zahur),3002,1,200,2998,1,227,1,,0
Avantoe potion (unf),Create Unfinished Potions (Zahur),103,1,200,261,1,227,1,,0
Snapdragon potion (unf),Create Unfinished Potions (Zahur),3004,1,200,3000,1,227,1,,0
Irit potion (unf),Create Unfinished Potions (Zahur),101,1,200,259,1,227,1,,0
Dwarf weed potion (unf),Create Unfinished Potions (Zahur),109,1,200,267,1,227,1,,0
Cadantine potion (unf),Create Unfinished Potions (Zahur),107,1,200,265,1,227,1,,0
Lantadyme potion (unf),Create Unfinished Potions (Zahur),2483,1,200,2481,1,227,1,,0
Kwuarm potion (unf),Create Unfinished Potions (Zahur),105,1,200,263,1,227,1,,0
Harralander potion (unf),Create Unfinished Potions (Zahur),97,1,200,255,1,227,1,,0
Tarromin potion (unf),Create Unfinished Potions (Zahur),95,1,200,253,1,227,1,,0
Guam potion (unf),Create Unfinished Potions (Zahur),91,1,200,249,1,227,1,,0
Torstol potion (unf),Create Unfinished Potions (Zahur),111,1,200,269,1,227,1,,0
Marrentill potion (unf),Create Unfinished Potions (Zahur),93,1,200,251,1,227,1,,0
Cadantine blood potion (unf),Create Unfinished Blood Potions (Zahur),22443,1,200,265,1,22446,1,,0
Nihil Dust,Crushing Nihil Shards (Wesley),26368,1,50,26231,1,,0,,0
Crushed nest,Crushing Bird Nests (Wesley),6693,1,50,5075,1,,0,,0
Kebbit Teeth Dust,Crushing Kebbit Teeth (Wesley),10111,1,50,10109,1,,0,,0
Dragon scale dust,Crushing Dragon Scales (Wesley),241,1,50,243,1,,0,,0
Unicorn horn dust,Crushing Unicorn Horns (Wesley),235,1,50,237,1,,0,,0
Goat horn dust,Crushing Goat Horns (Wesley),9736,1,50,9735,1,,0,,0
Karil's leathertop,Repair Broken Armour (POH - 80 smithing),4736,1,54000,4944,1,,0,,0
Ahrim's robetop,Repair Broken Armour (POH - 80 smithing),4712,1,54000,4872,1,,0,,0
Torag's platebody,Repair Broken Armour (POH - 80 smithing),4749,1,54000,4968,1,,0,,0
Dharok's platebody,Repair Broken Armour (POH - 80 smithing),4720,1,54000,4896,1,,0,,0
Guthan's platebody,Repair Broken Armour (POH - 80 smithing),4728,1,54000,4920,1,,0,,0
Verac's brassard,Repair Broken Armour (POH - 80 smithing),4757,1,54000,4992,1,,0,,0
Karil's coif,Repair Broken Armour (POH - 80 smithing),4732,1,36000,4932,1,,0,,0
